medicine_id,name,strength,form,category,stock_level,price,prescription_required,last_updated
med_001,Metformin,500mg,tablet,Diabetes,140,5.50,True,2025-01-10
med_002,Amoxicillin,500mg,capsule,Antibiotic,45,12.00,True,2025-01-12
med_003,Ibuprofen,200mg,tablet,Pain Relief,500,3.50,False,2025-01-14
med_004,Lisinopril,10mg,tablet,Cardiovascular,8,8.00,True,2025-01-08
med_005,Atorvastatin,20mg,tablet,Cardiovascular,200,15.00,True,2025-01-11
med_006,Cetirizine,10mg,tablet,Allergy,99,4.50,False,2025-01-05
med_007,Albuterol,90mcg,inhaler,Respiratory,0,350.00,True,2025-01-01
med_008,Omeprazole,20mg,capsule,Gastrointestinal,120,7.50,False,2025-01-09
med_009,Paracetamol,500mg,tablet,Pain Relief,907,2.00,False,2025-01-15
med_010,Sertraline,50mg,tablet,Psychiatry,59,18.00,True,2025-01-13
med_011,Insulin Glargine,100 units/mL,pen,Diabetes,15,1250.00,True,2025-01-10
med_012,Amlodipine,5mg,tablet,Cardiovascular,90,6.00,True,2025-01-12
med_013,Prednisone,5mg,tablet,Anti-inflammatory,30,5.00,True,2025-01-05
med_014,Azithromycin,250mg,tablet,Antibiotic,0,35.00,True,2025-01-14
med_015,Gabapentin,300mg,capsule,Neurology,200,12.50,True,2025-01-11
med_016,Levothyroxine,50mcg,tablet,Hormonal,180,8.50,True,2025-01-08
med_017,Losartan,50mg,tablet,Cardiovascular,75,10.00,True,2025-01-09
med_018,Vitamin D3,1000IU,softgel,Supplement,498,3.00,False,2025-01-01
med_019,Doxycycline,100mg,capsule,Antibiotic,50,15.00,True,2025-01-13
med_020,Pantoprazole,40mg,tablet,Gastrointestinal,90,9.00,True,2025-01-10
